id,timestamp,subject,session,event,handle,content_pk1
35,2017-09-03T08:33:33Z,R and the Enlightenment,28131876,COURSE_ACCESS,NA,NA
35,2017-09-03T08:33:25Z,R and the Enlightenment,28131876,COURSE_ACCESS,check_grade,NA
35,2017-10-10T18:56:30Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855175
35,2017-10-10T18:56:30Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855183
35,2017-10-10T18:56:30Z,R and the Enlightenment,30356733,COURSE_ACCESS,content,1855175
35,2017-10-10T18:57:02Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855175
35,2017-10-10T18:57:02Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855183
35,2017-10-10T18:57:02Z,R and the Enlightenment,30356733,COURSE_ACCESS,content,1855175
35,2017-10-10T18:57:17Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855175
35,2017-10-10T18:57:17Z,R and the Enlightenment,30356733,CONTENT_ACCESS,NA,1855183
35,2017-10-10T18:57:17Z,R and the Enlightenment,30356733,COURSE_ACCESS,content,1855175
35,2017-07-19T12:38:52Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579261
35,2017-07-19T12:38:52Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579260
35,2017-09-01T07:32:07Z,R and the Enlightenment,28052591,CONTENT_ACCESS,NA,1579297
35,2017-09-01T07:32:07Z,R and the Enlightenment,28052591,CONTENT_ACCESS,NA,1579298
35,2017-09-01T07:32:07Z,R and the Enlightenment,28052591,CONTENT_ACCESS,NA,1579299
35,2017-07-19T12:24:09Z,R and the Enlightenment,25952433,CONTENT_ACCESS,NA,1579235
35,2017-07-19T12:38:52Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579259
35,2017-07-19T12:38:52Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579234
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,COURSE_ACCESS,content,1579235
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579271
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579270
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579269
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579272
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579268
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579267
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579266
35,2017-07-19T12:38:47Z,R and the Enlightenment,25953024,CONTENT_ACCESS,NA,1579235
35,2017-08-01T08:24:26Z,R and the Enlightenment,26434854,COURSE_ACCESS,NA,NA
35,2017-08-01T08:24:26Z,R and the Enlightenment,26434854,COURSE_ACCESS,content,NA
35,2017-08-01T08:24:10Z,R and the Enlightenment,26434854,COURSE_ACCESS,content,1579236
35,2017-08-01T08:24:10Z,R and the Enlightenment,26434854,CONTENT_ACCESS,NA,1579279
35,2017-08-01T08:24:10Z,R and the Enlightenment,26434854,CONTENT_ACCESS,NA,1579278
35,2017-08-01T08:24:10Z,R and the Enlightenment,26434854,CONTENT_ACCESS,NA,1579277
